mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1709883213043213,0.009567157508904967,0.062196572621663414,0.001241624648921755,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5283726027397251,-0.4690000000000006,-0.43586027397260324,-0.4777442922374429,0.03827078719275192,26
0.31163398424784344,0.017869811018079444,0.07275152206420898,0.006053691267278028,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.518256164383562,-0.47468904109588844,-0.4377753424657534,-0.47690684931506794,0.032893562481781574,24
0.5785400867462158,0.007513466635363528,0.11678266525268555,0.02036489569096513,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5192191780821913,-0.47687739726026834,-0.43334999999999885,-0.4764821917808195,0.03505705898157137,22
0.1870417594909668,0.004233335373501438,0.0582276980082194,0.008218553512101595,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5038712946490346,-0.47723525025203173,-0.4331087401259317,-0.47140509500899935,0.029181361783133315,12
0.2715655167897542,0.024336293826269718,0.06180453300476074,0.008631910925614312,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.507275352744668,-0.47642786060971,-0.438239487802911,-0.47398090038576296,0.028236836140253754,18
0.5036274592081705,0.0361631517815892,0.09608292579650879,0.0007938699534276009,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080087336103769,-0.4752823505223838,-0.43730444196024476,-0.4735318420310018,0.02889143384489062,16
0.15364527702331543,0.012521698570738832,0.06911039352416992,0.020513220393855076,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.492035057790719,-0.4770436351278367,-0.43593375875323875,-0.4683374838905982,0.0237161933489539,8
0.2898873488108317,0.04070157104694402,0.07662185033162434,0.01727892267429138,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214674,-0.4717926209927976,-0.43750183776043955,-0.46634359922179464,0.021669943183090772,2
0.5194400151570638,0.06197969738188568,0.0894316832224528,0.007788577458116961,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.491493651219757,-0.47203546231209376,-0.43703004650312394,-0.46685305334499155,0.022534626418161306,6
0.1547090212504069,0.012999495267390679,0.048211256663004555,0.00021006885284489174,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5282031572124013,-0.4710537782668643,-0.42856831758321895,-0.47594175102082814,0.04082233477902215,21
0.2585967381795247,0.01629885494166343,0.06377696990966797,0.02119043231656488,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5209910852649128,-0.4714825458848298,-0.43347918915674044,-0.47531760676882767,0.035829352576715316,20
0.48973997433980304,0.028460386893128388,0.10033877690633138,0.008030294253488739,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5172597579246977,-0.46693569030867305,-0.4294038933343794,-0.4711997805225834,0.035993518719739534,11
0.14041980107625326,0.0008282500233555006,0.04810659090677897,0.0003063909317456904,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.504120937202267,-0.4769489560378818,-0.43158927181792006,-0.47088638835268964,0.02991963308665255,10
0.2370940844217936,0.007002038311433423,0.06388974189758301,0.0005718484405958102,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5073221832505398,-0.47458621779972143,-0.43701958339975816,-0.47297599481667313,0.02872349212736424,15
0.5494699478149414,0.045216393178044975,0.08294121424357097,0.007905188052120971,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080138876175531,-0.4729369332853381,-0.4338467677556286,-0.4715991962195066,0.03029337190977858,14
0.16733423868815103,0.01947985739643,0.045298099517822266,0.0017563634184372962,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.49203505779071915,-0.47626431103287015,-0.4356188369089135,-0.4679727352441676,0.023766365118811913,7
0.2904365062713623,0.037092831049336694,0.0557401974995931,0.0074829347136852785,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214696,-0.47151862691137053,-0.43743264647720675,-0.4662292041002414,0.021677985082234546,1
0.5384627183278402,0.0368033767247354,0.08393692970275879,0.008183351034102199,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.4914936512197564,-0.4718124730752285,-0.43635774528784516,-0.4665546231942767,0.022814115071757814,4
0.1655393441518148,0.02933778836153204,0.07273014386494954,0.01655975624439048,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.528107534246575,-0.4688481911087397,-0.438445509893456,-0.47846707841625696,0.03723091813310421,27
0.2703864574432373,0.03341376830493553,0.054776906967163086,0.007107086149174604,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5181085616438361,-0.47529217122299133,-0.43929607197216786,-0.4775656016129985,0.03221519823898197,25
